+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                                           INGREDIENTS|MAKE|
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                   BLACKMAGIC|                                                                                    VODKA 5.3oz COFFEELIQUEUR 2.1oz LEMONJUICE 0.53oz |    |
|           KEYWESTSCREWDRIVER|                                                                                        VODKA 2.3oz ORANGEJUICE 4.6oz LIMEJUICE 1.1oz |  x |
|                 AMARETTOSOUR|                                                                                               AMARETTOLIQUEUR 5.3oz LEMONJUICE 2.7oz |    |
|                  TOOTSIEROLL|                                                                                    COFFEELIQUEUR 1.3oz ORANGEJUICE 1.3oz VODKA 1.3oz |    |
|                DARKANDSTORMY|                                                                                                           DARKRUM 2oz GINGERBEER 6oz |    |
|                 MEXICANSCREW|                                                                                                      TEQUILA 2.7oz ORANGEJUICE 5.3oz |    |
|                  BRASSMONKEY|                                                                                          DARKRUM 2.7oz VODKA 2.7oz ORANGEJUICE 2.7oz |  x |
|          MOSCOWMULEWITHLEMON|                                                                                          VODKA 2.7oz GINGERBEER 4oz LEMONJUICE 1.3oz |    |
|                 BLACKRUSSIAN|                                                                                                      VODKA 5.7oz COFFEELIQUEUR 2.3oz |    |
|           BLACKMAGICWITHLIME|                                                                                     VODKA 5.3oz COFFEELIQUEUR 2.1oz LIMEJUICE 0.53oz |    |
|                  WHISKEYSHOT|                                                                                                                          WHISKEY 4oz |  x |
| LONGISLANDICEDTEAWITHDARKRUM|                                   VODKA 1.2oz DARKRUM 1.2oz GIN 1.2oz TEQUILA 1.2oz ORANGE LIQUEUR 1.2oz COKE 0.3oz SWEETNSOUR 1.8oz |    |
|                 VODKASUNRISE|                                                                                        VODKA 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|               TEQUILASUNRISE|                                                                                      TEQUILA 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                   CAPECODDER|                                                                                    VODKA 2.5oz CRANBERRYJUICE 5.1oz LIMEJUICE 0.42oz |  x |
