+------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                            INGREDIENTS|MAKE|
+------------------------------------------------------------------------------------------------------------------------------------------+
|                 KAMIKAZESHOT|                                                     VODKA 2.9oz ORANGELIQUEUR 0.73oz LIMEJUICE 0.36oz |    |
|                       GIMLET|                                                                             GIN 6.4oz LIMEJUICE 1.6oz |    |
|        CUBALIBREWITHLIGHTRUM|                                                            LIGHTRUM 2.5oz COKE 4.9oz LIMEJUICE 0.62oz |    |
|               WHISKEYANDCOKE|                                                                                  WHISKEY 2oz COKE 6oz |  x |
|           KEYWESTSCREWDRIVER|                                                         VODKA 2.3oz ORANGEJUICE 4.6oz LIMEJUICE 1.1oz |    |
|                        MANDM|                                                               AMARETTOLIQUEUER 2oz COFFEELIQUEUER 2oz |    |
|                   GINGINMULE|                                                              GIN 2.7oz GINGERBEER 4oz LIMEJUICE 1.3oz |    |
|                 LOUNGELIZARD|                                                       AMARETTOLIQUEUR 0.73oz DARKRUM 1.5oz COKE 5.8oz |    |
|                 RYEANDGINGER|                                                                        WHISKEY 3.2oz GINGERBEER 4.8oz |    |
|                   MOSCOWMULE|                                                            VODKA 2.7oz GINGERBEER 4oz LIMEJUICE 1.3oz |    |
|             LONGBEACHICEDTEA|         VODKA 1.5oz LIGHTRUM 1.5oz GIN 1.5oz ORANGE LIQUEUR 1.5oz TEQUILA 1.5oz CRANBERRYJUICE 0.38oz |    |
|                APEROLSUNRISE|                                                   TEQUILA 2.4oz ORANGEJUICE 4.8oz ORANGELIQUEUR 0.8oz |    |
|                 LIGHTRUMSHOT|                                                                                          LIGHTRUM 4oz |  x |
|              AMARETTOSUNRISE|                                               AMARETTOLIQUEUR 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|         VODKAGIMLETWITHLEMON|                                                                          VODKA 6.4oz LEMONJUICE 1.6oz |    |
|           BLACKMAGICWITHLIME|                                                      VODKA 5.3oz COFFEELIQUEUR 2.1oz LIMEJUICE 0.53oz |    |
|      BRASSMONKEYWITHLIGHTRUM|                                                          LIGHTRUM 2.7oz VODKA 2.7oz ORANGEJUICE 2.7oz |    |
|                  TOOTSIEROLL|                                                     COFFEELIQUEUR 1.3oz ORANGEJUICE 1.3oz VODKA 1.3oz |    |
|               TEQUILASUNRISE|                                                       TEQUILA 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                    MANHATTAN|                                                                          WHISKEY 5.7oz VERMOUTH 2.3oz |    |
|        COSMOPOLITANWITHLEMON|                                 VODKA 3.2oz ORANGELIQUEUR 1.2oz LEMONJUICE 1.2oz CRANBERRYJUICE 2.4oz |    |
|             FRENCHCONNECTION|                                                                        AMARETTOLIQUEUR 4oz COGNAC 4oz |    |
|                    GREYHOUND|                                                                     VODKA 2.3oz GRAPEFRUITJUICE 5.7oz |    |
|  LONGBEACHICEDTEAWITHDARKRUM|          VODKA 1.5oz DARKRUM 1.5oz GIN 1.5oz ORANGE LIQUEUR 1.5oz TEQUILA 1.5oz CRANBERRYJUICE 0.38oz |    |
|          GINGINMULEWITHLEMON|                                                             GIN 2.7oz GINGERBEER 4oz LEMONJUICE 1.3oz |    |
|                   BLUELAGOON|                                                          VODKA 1.3oz BLUECURACAO 1.3oz LEMONADE 5.3oz |    |
|                  SCREWDRIVER|                                                                         VODKA 2.7oz ORANGEJUICE 5.3oz |    |
|              AMARETTOSOURMIX|                                                                  AMARETTOLIQUEUR 6oz SWEETANDSOUR 2oz |    |
|                     KAMIKAZE|                                                      VODKA 2.7oz ORANGE LIQUEUR 2.7oz LIMEJUICE 2.7oz |    |
|                  PANGALACTIC|           VODKA 1.1oz LIGHTRUM 1.1oz WHISKEY 1.1oz SWEETANDSOUR 1.1oz CRANBERRYJUICE 1.7oz COKE 1.7oz |  x |
|       DARKANDSTORMYWITHLEMON|                                                      DARKRUM 1.8oz GINGERBEER 5.3oz LEMONJUICE 0.89oz |    |
|         AMARETTOSOURWITHLIME|                                                                 AMARETTOLIQUEUR 5.3oz LIMEJUICE 2.7oz |    |
|                 AMARETTOSOUR|                                                                AMARETTOLIQUEUR 5.3oz LEMONJUICE 2.7oz |    |
|                  BRASSMONKEY|                                                           DARKRUM 2.7oz VODKA 2.7oz ORANGEJUICE 2.7oz |    |
|                  WHISKEYSHOT|                                                                                           WHISKEY 4oz |  x |
|        CUBANSCREWWITHDARKRUM|                                                                       DARKRUM 2.7oz ORANGEJUICE 5.3oz |    |
|                   REDSNAPPER|                                                    WHISKEY 1oz AMARETTOLIQUEUR 1oz CRANBERRYJUICE 2oz |    |
|          MOSCOWMULEWITHLEMON|                                                           VODKA 2.7oz GINGERBEER 4oz LEMONJUICE 1.3oz |    |
|                 MEXICANSCREW|                                                                       TEQUILA 2.7oz ORANGEJUICE 5.3oz |    |
|                    BRAVEBULL|                                                                         TEQUILA 6oz COFFEELIQUEUR 2oz |    |
|        DARKANDSTORMYWITHLIME|                                                       DARKRUM 1.8oz GINGERBEER 5.3oz LIMEJUICE 0.89oz |    |
|          WHISKEYSOURWITHLIME|                                                                         WHISKEY 4.8oz LIMEJUICE 3.2oz |    |
|       RUMANDCOKEWITHLIGHTRUM|                                                                             LIGHTRUM 2.7oz COKE 5.3oz |  x |
|                   CUBANSCREW|                                                                      LIGHTRUM 2.7oz ORANGEJUICE 5.3oz |    |
|                   CAPECODDER|                                                     VODKA 2.5oz CRANBERRYJUICE 5.1oz LIMEJUICE 0.42oz |    |
|                      GINSHOT|                                                                                               GIN 4oz |    |
|                    MARGARITA|                                                       TEQUILA 4oz LIMEJUICE 1.7oz ORANGELIQUEUR 2.3oz |    |
|                    CHURCHILL|                                        WHISKEY 4oz VERMOUTH 1.3oz LIMEJUICE 1.3oz ORANGELIQUEUR 1.3oz |    |
|                    CUBALIBRE|                                                             DARKRUM 2.5oz COKE 4.9oz LIMEJUICE 0.62oz |    |
|                  VODKAGIMLET|                                                                           VODKA 6.4oz LIMEJUICE 1.6oz |    |
|                 VODKASUNRISE|                                                         VODKA 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                 VODKAMARTINI|                                                                            VODKA 6.3oz VERMOUTH 1.7oz |    |
|                  WHISKEYSOUR|                                                                          WHISKEY 4oz SWEETANDSOUR 4oz |  x |
|                    GODMOTHER|                                                                     AMARETTOLIQUEUR 2.7oz VODKA 5.3oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                           GIN 2.7oz ORANGEJUICE 5.3oz |    |
|                   RUMANDCOKE|                                                                              DARKRUM 2.7oz COKE 5.3oz |    |
| LONGISLANDICEDTEAWITHDARKRUM|    VODKA 1.2oz DARKRUM 1.2oz GIN 1.2oz TEQUILA 1.2oz ORANGE LIQUEUR 1.2oz COKE 0.3oz SWEETNSOUR 1.8oz |    |
|             CARIBBEANSUNRISE|                                                      LIGHTRUM 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                 COSMOPOLITAN|                                  VODKA 3.2oz ORANGELIQUEUR 1.2oz LIMEJUICE 1.2oz CRANBERRYJUICE 2.4oz |    |
|                    VODKASHOT|                                                                                             VODKA 4oz |  x |
|                    GODFATHER|                                                                       AMARETTOLIQUEUR 4oz WHISKEY 4oz |    |
|                   BLACKMAGIC|                                                     VODKA 5.3oz COFFEELIQUEUR 2.1oz LEMONJUICE 0.53oz |    |
|           CHURCHILLWITHLEMON|                                       WHISKEY 4oz VERMOUTH 1.3oz LEMONJUICE 1.3oz ORANGELIQUEUR 1.3oz |    |
|                 BLACKRUSSIAN|                                                                       VODKA 5.7oz COFFEELIQUEUR 2.3oz |    |
|     LOUNGELIZARDWITHLIGHTRUM|                                                      AMARETTOLIQUEUR 0.73oz LIGHTRUM 1.5oz COKE 5.8oz |    |
|            KAMIKAZEWITHLEMON|                                                     VODKA 2.7oz ORANGE LIQUEUR 2.7oz LEMONJUICE 2.7oz |    |
|                  FRENCHSCREW|                                                                        COGNAC 2.7oz ORANGEJUICE 5.3oz |    |
|                 SILVERBULLET|                                                                               GIN 2.7oz WHISKEY 1.3oz |    |
|               VODKACRANBERRY|                                                                      VODKA 2.7oz CRANBERRYJUICE 5.3oz |  x |
|                      MARTINI|                                                                              GIN 6.3oz VERMOUTH 1.7oz |    |
|  CARIBBEANSUNRISEWITHDARKRUM|                                                       DARKRUM 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                  DARKRUMSHOT|                                                                                           DARKRUM 4oz |    |
|         WHISKEYSOURWITHLEMON|                                                                        WHISKEY 4.8oz LEMONJUICE 3.2oz |    |
