+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                             INGREDIENTS|MAKE|
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                        MANDM|                                                                                AMARETTOLIQUEUER 1oz COFFEELIQUEUER 1oz |    |
|       DARKANDSTORMYWITHLEMON|                                                                       DARKRUM 1.2oz GINGERBEER 3.7oz LEMONJUICE 0.61oz |    |
|                 LOUNGELIZARD|                                                                             AMARETTOLIQUEUR 0.5oz DARKRUM 1oz COKE 4oz |    |
|                    CHURCHILL|                                                      WHISKEY 2oz VERMOUTH 0.67oz LIMEJUICE 0.67oz ORANGELIQUEUR 0.67oz |    |
|                 VODKASUNRISE|                                                                         VODKA 1.7oz ORANGEJUICE 3.3oz GRENADINE 0.55oz |    |
|          MOSCOWMULEWITHLEMON|                                                                           VODKA 1.3oz GINGERBEER 2oz LEMONJUICE 0.67oz |    |
|         VODKAGIMLETWITHLEMON|                                                                                           VODKA 3.2oz LEMONJUICE 0.8oz |    |
|                 BLACKRUSSIAN|                                                                                        VODKA 2.9oz COFFEELIQUEUR 1.1oz |    |
|                    VODKASHOT|                                                                                                              VODKA 2oz |    |
|                 LIGHTRUMSHOT|                                                                                                           LIGHTRUM 2oz |    |
|                   REDSNAPPER|                                                                 WHISKEY 0.5oz AMARETTOLIQUEUR 0.5oz CRANBERRYJUICE 1oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                                            GIN 1.8oz ORANGEJUICE 3.7oz |  x |
|                  FRENCHSCREW|                                                                                         COGNAC 1.8oz ORANGEJUICE 3.7oz |    |
|             RUSSIANCOSMONAUT|                                                   VODKA 1.1oz ORANGEJUICE 0.36oz CRANBERRYJUICE 2.2oz LIMEJUICE 0.36oz |  x |
|         WHISKEYSOURWITHLEMON|                                                                                         WHISKEY 2.4oz LEMONJUICE 1.6oz |    |
|       RUMANDCOKEWITHLIGHTRUM|                                                                                              LIGHTRUM 1.8oz COKE 3.7oz |    |
