+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                                  INGREDIENTS|MAKE|
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                        MANDM|                                                                                     AMARETTOLIQUEUER 1oz COFFEELIQUEUER 1oz |    |
|       DARKANDSTORMYWITHLEMON|                                                                             DARKRUM 0.67oz GINGERBEER 2oz LEMONJUICE 0.33oz |    |
|                 LOUNGELIZARD|                                                                            AMARETTOLIQUEUR 0.27oz DARKRUM 0.55oz COKE 2.2oz |    |
|                    CHURCHILL|                                                            WHISKEY 1.5oz VERMOUTH 0.5oz LIMEJUICE 0.5oz ORANGELIQUEUR 0.5oz |    |
|                 VODKASUNRISE|                                                                               VODKA 0.9oz ORANGEJUICE 1.8oz GRENADINE 0.3oz |    |
|          MOSCOWMULEWITHLEMON|                                                                                 VODKA 1oz GINGERBEER 1.5oz LEMONJUICE 0.5oz |    |
|                BARBOTSUNRISE|                                                      VODKA 0.67oz GRAPEFRUITJUICE 0.67oz ORANGEJUICE 1.3oz LIMEJUICE 0.33oz |  x |
|         VODKAGIMLETWITHLEMON|                                                                                                VODKA 2.4oz LEMONJUICE 0.6oz |    |
|                 BLACKRUSSIAN|                                                                                            VODKA 2.1oz COFFEELIQUEUR 0.86oz |  x |
|                    VODKASHOT|                                                                                                                   VODKA 2oz |    |
|                 LIGHTRUMSHOT|                                                                                                                LIGHTRUM 2oz |    |
|                   REDSNAPPER|                                                                      WHISKEY 0.5oz AMARETTOLIQUEUR 0.5oz CRANBERRYJUICE 1oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                                                     GIN 1oz ORANGEJUICE 2oz |  x |
|                  FRENCHSCREW|                                                                                                  COGNAC 1oz ORANGEJUICE 2oz |    |
|             RUSSIANCOSMONAUT|                                                       VODKA 0.82oz ORANGEJUICE 0.27oz CRANBERRYJUICE 1.6oz LIMEJUICE 0.27oz |  x |
