+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
+------------------------------------------------------------------------------------+
|          WHISKEYSOURWITHLEMON|             Whiskey Sour (sub. lemon)|   2|   1|    |
|                 BARBOTSUNRISE|                        BarBot Sunrise|   4|   2|    |
|                    MOSCOWMULE|                           Moscow Mule|   3|   1|  x |
|                       MARTINI|                               Martini|   2|4294967295|    |
|                BRAZILIANDREAM|                       Brazilian Dream|   3|   1|    |
|                  VODKASUNRISE|                         Vodka Sunrise|   3|   2|    |
|                  AMARETTOSOUR|                         Amaretto Sour|   2|   1|    |
|                   WHISKEYSOUR|                          Whiskey Sour|   2|   1|    |
|                      GUARAGIN|                              Guaragin|   2|   1|  x |
|                  LOUNGELIZARD|                         Lounge Lizard|   3|   2|    |
|                    BLACKMAGIC|                           Black Magic|   3|4294967295|    |
|                  SCALPSUNRISE|                         Scalp Sunrise|   3|   1|  x |
|      LOUNGELIZARDWITHLIGHTRUM|        Lounge Lizard (sub. light rum)|   3|   2|    |
|           CAPECODDERWITHLEMON|              Cape Codder (sub. lemon)|   3|   2|    |
|                         MANDM|                                   M&M|   2|   0|    |
|                     CUBALIBRE|                            Cuba Libre|   3|   2|    |
|         DARKANDSTORMYWITHLIME|             Dark and Stormy with lime|   3|   2|  x |
|             KAMIKAZEWITHLEMON|                 Kamikaze (sub. lemon)|   3|   1|    |
|                  VODKAMARTINI|                         Vodka Martini|   2|4294967295|    |
|          AMARETTOSOURWITHLIME|             Amaretto Sour (sub. lime)|   2|   1|    |
|                  MEXICANSCREW|                         Mexican Screw|   2|   2|  x |
|        DARKANDSTORMYWITHLEMON|            Dark and Stormy with lemon|   3|   2|    |
|                        REDRUM|                                REDRUM|   3|   2|    |
|                    BLUELAGOON|                           Blue Lagoon|   3|   2|    |
|               AMARETTOSOURMIX|     Amaretto Sour (sub. sweet & sour)|   2|   1|    |
|         COSMOPOLITANWITHLEMON|             Cosmopolitan (sub. lemon)|   4|   1|    |
|            CHURCHILLWITHLEMON|                Churchill (sub. lemon)|   4|4294967295|    |
|                TEQUILASUNRISE|                       Tequila Sunrise|   3|   2|    |
|                    RUMANDCOKE|                            Rum & Coke|   2|   2|    |
|                   PALEBLUEDOT|                         Pale Blue Dot|   2|   1|    |
|                      KAMIKAZE|                              Kamikaze|   3|   1|    |
