+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                                                     INGREDIENTS|MAKE|
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                        MANDM|                                                                                                        AMARETTOLIQUEUER 1oz COFFEELIQUEUER 1oz |    |
|       DARKANDSTORMYWITHLEMON|                                                                                               DARKRUM 1.9oz GINGERBEER 3.2oz LEMONJUICE 0.64oz |    |
|    BRAZILIANDREAMWITHDARKRUM|                                                                                              GUARANASODA 3.5oz DARKRUM 1.1oz ORANGEJUICE 1.1oz |    |
|                 LOUNGELIZARD|                                                                                                  AMARETTOLIQUEUR 0.52oz DARKRUM 1oz COKE 4.2oz |    |
|                    CHURCHILL|                                                                               WHISKEY 1.5oz VERMOUTH 0.5oz LIMEJUICE 0.5oz ORANGELIQUEUR 0.5oz |    |
|                 VODKASUNRISE|                                                                                                 VODKA 1.7oz ORANGEJUICE 3.5oz GRENADINE 0.57oz |    |
|          MOSCOWMULEWITHLEMON|                                                                                                 VODKA 1.9oz GINGERBEER 2.9oz LEMONJUICE 0.96oz |    |
|                BARBOTSUNRISE|                                                                           VODKA 1.3oz GRAPEFRUITJUICE 1.3oz ORANGEJUICE 2.6oz LIMEJUICE 0.64oz |    |
|         VODKAGIMLETWITHLEMON|                                                                                                                   VODKA 2.4oz LEMONJUICE 0.6oz |    |
|                 BLACKRUSSIAN|                                                                                                               VODKA 2.1oz COFFEELIQUEUR 0.86oz |    |
|                    VODKASHOT|                                                                                                                                      VODKA 2oz |    |
|                 LIGHTRUMSHOT|                                                                                                                                   LIGHTRUM 2oz |    |
|                   REDSNAPPER|                                                                                    WHISKEY 0.67oz AMARETTOLIQUEUR 0.67oz CRANBERRYJUICE 0.67oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                                                                    GIN 1.9oz ORANGEJUICE 3.8oz |    |
|                  FRENCHSCREW|                                                                                                                 COGNAC 1.9oz ORANGEJUICE 3.8oz |    |
